Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
MORTAL KOMBAT (2011),Fighting,Warner Bros. Interactive Entertainment,M,NetherRealm Studios,8.5
COOKING MAMA: COOK OFF,Simulation,Majesco,E,Office Create,5.9
SYPHON FILTER,Shooter,989 Studios,T,Eidetic,9.2
COLIN MCRAE RALLY,Racing,Sony Computer Entertainment,E,Codemasters,7.9
1-2-SWITCH,Party,Nintendo,E10,Nintendo EPD,5.7
WII MUSIC,Music,Nintendo,E,Nintendo EAD,5.6
YOKAI WATCH,Role-Playing,Nintendo,E10,Level 5,7.7
THE ELDER SCROLLS III: MORROWIND,Role-Playing,Bethesda Softworks,T,Bethesda Softworks,8.2
METROID PRIME,Shooter,Nintendo,T,Retro Studios,9.6
FINDING NEMO,Platform,THQ,E,Vicarious Visions,7.0
MEDAL OF HONOR,Shooter,Electronic Arts,M,EA Los Angeles,7.0
GRAN TURISMO (PSP),Racing,Sony Computer Entertainment,E,Polyphony Digital,7.8
IMAGINE: FASHION DESIGNER,Simulation,Ubisoft,E,Virtual Toys / Lexis Numerique,3.0
KILLZONE 3,Shooter,Sony Computer Entertainment,M,Guerrilla Games,8.2
TEKKEN 5,Fighting,Namco,T,Namco,9.0
SKYLANDERS: SPYRO'S ADVENTURE,Action,Activision,E10,Toys for Bob,8.0
A BUG'S LIFE,Platform,Sony Computer Entertainment,E,Traveller's Tales,3.6
RATCHET & CLANK: GOING COMMANDO,Platform,Sony Computer Entertainment,T,Insomniac Games,8.7
TETRIS DS,Puzzle,Nintendo,E,Nintendo,8.5
FAR CRY: PRIMAL,Action-Adventure,Ubisoft,M,Ubisoft Montreal,7.2
"POKEMON: LET'S GO, EEVEE!",Role-Playing,Nintendo,E,Game Freak,8.3
OVERWATCH,Shooter,Blizzard Entertainment,T,Blizzard Entertainment,8.7
SKATE 3,Sports,EA Sports,T,EA Black Box,8.3
MARIO PARTY,Misc,Nintendo,E,Hudson Soft,7.6
MARIO PARTY: ISLAND TOUR,Party,Nintendo,E,"Nd Cube Co., Ltd.",5.5
HALO WARS,Strategy,Microsoft Game Studios,T,Ensemble Studios,8.1
MEDAL OF HONOR HEROES,Shooter,Electronic Arts,T,Team Fusion,6.7
HANNAH MONTANA,Action,Buena Vista,E,DC Studios,6.5
MADDEN NFL 18,Sports,EA Sports,E,EA Tiburon,8.2
MARIO STRIKERS CHARGED,Sports,Nintendo,E10,Next Level Games,7.7
MONSTER HUNTER 3G,Role-Playing,Capcom,T,Capcom,7.6
MARIO + RABBIDS: KINGDOM BATTLE,Strategy,Ubisoft,E10,Ubisoft Milan,8.3
MARIO & LUIGI: DREAM TEAM,Role-Playing,Nintendo,E10,AlphaDream Corporation,8.0
BASTION,Role-Playing,Warner Bros. Interactive Entertainment,E10,Supergiant Games,8.5
RATCHET & CLANK: UP YOUR ARSENAL,Platform,Sony Computer Entertainment,T,Insomniac Games,9.1
CLUBHOUSE GAMES,Misc,Nintendo,E,Agenda,8.3
RATCHET & CLANK FUTURE: TOOLS OF DESTRUCTION,Platform,Sony Computer Entertainment,E10,Insomniac Games,8.9
DRAGON AGE: ORIGINS,Role-Playing,Electronic Arts,M,BioWare Edmonton,8.5
